"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 0 - periodico.nlogo"
"periodic_experiment_1000"
"08/26/2024 21:32:41:128 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","9","-9","0"
"[run number]","[step]","mean [xcor] of turtles","-1 * mean [ycor] of turtles","standard-deviation ([xcor] of turtles)","standard-deviation ([ycor] of turtles)"
"474","5000","5","5.52","0","0.5046720495044484"
"475","5000","5","4.48","0","0.5046720495044485"
"477","5000","5","4.48","0","0.5046720495044485"
"476","5000","5.52","5","0.5046720495044485","0"
"478","5000","4.48","5","0.5046720495044485","0"
"479","5000","5","5.52","0","0.5046720495044485"
"480","5000","5","4.48","0","0.5046720495044485"
"481","5000","5","4.48","0","0.5046720495044484"
"483","5000","5","4.48","0","0.5046720495044485"
"482","5000","5.52","5","0.5046720495044484","0"
"484","5000","5.52","5","0.5046720495044484","0"
"485","5000","5","5.52","0","0.5046720495044484"
"486","5000","5","5.52","0","0.5046720495044484"
"487","5000","4.48","5","0.5046720495044487","0"
"488","5000","5.52","5","0.5046720495044484","0"
"490","5000","5","4.48","0","0.5046720495044485"
"489","5000","5.52","5","0.5046720495044485","0"
"491","5000","5","4.48","0","0.5046720495044484"
"492","5000","5.52","5","0.5046720495044485","0"
"493","5000","5.52","5","0.5046720495044484","0"
"494","5000","5.52","5","0.5046720495044487","0"
"496","5000","5","5.52","0","0.5046720495044484"
"495","5000","5.52","5","0.5046720495044485","0"
"497","5000","5","5.52","0","0.5046720495044484"
"500","5000","5","4.48","0","0.5046720495044484"
"498","5000","5.52","5","0.5046720495044484","0"
"499","5000","5.52","5","0.5046720495044484","0"
"501","5000","5.52","5","0.5046720495044484","0"
"502","5000","5","4.48","0","0.5046720495044487"
"503","5000","4.52","4","0.5046720495044485","0"
"504","5000","5","4.48","0","0.5046720495044484"
"505","5000","5","5.52","0","0.5046720495044484"
"506","5000","5","5.52","0","0.5046720495044484"
"507","5000","4.48","5","0.5046720495044485","0"
"509","5000","5","5.52","0","0.5046720495044485"
"508","5000","5.52","5","0.5046720495044485","0"
"510","5000","5","5.52","0","0.5046720495044484"
"511","5000","5.52","5","0.5046720495044487","0"
"512","5000","5.52","5","0.5046720495044485","0"
"513","5000","4","4.52","0","0.5046720495044484"
"514","5000","5","4.48","0","0.5046720495044487"
"515","5000","4.48","5","0.5046720495044485","0"
"516","5000","5","5.52","0","0.5046720495044485"
"517","5000","5","5.52","0","0.5046720495044485"
"518","5000","5","5.52","0","0.5046720495044483"
"519","5000","5","4.48","0","0.5046720495044484"
"520","5000","5","5.52","0","0.5046720495044484"
"521","5000","4.48","5","0.5046720495044485","0"
"522","5000","5","4.48","0","0.5046720495044484"
"523","5000","5","5.52","0","0.5046720495044484"
"524","5000","5","4.48","0","0.5046720495044484"
"525","5000","4.48","5","0.5046720495044484","0"
"526","5000","5.52","5","0.5046720495044484","0"
"527","5000","5","5.52","0","0.5046720495044484"
"528","5000","5","5.52","0","0.5046720495044484"
"529","5000","5","5.52","0","0.5046720495044484"
"530","5000","5","5.52","0","0.5046720495044484"
"531","5000","4.48","5","0.5046720495044484","0"
"532","5000","5","4.48","0","0.5046720495044485"
"533","5000","5","4.48","0","0.5046720495044485"
"534","5000","4.48","5","0.5046720495044485","0"
"535","5000","4.48","5","0.5046720495044484","0"
"536","5000","5.48","6","0.5046720495044484","0"
"537","5000","5.52","5","0.5046720495044485","0"
"538","5000","5.52","5","0.5046720495044484","0"
"539","5000","4.48","5","0.5046720495044487","0"
"540","5000","5","5.52","0","0.5046720495044484"
"541","5000","4.48","5","0.5046720495044485","0"
"542","5000","5","4.48","0","0.5046720495044485"
"543","5000","5","5.52","0","0.5046720495044484"
"544","5000","5","4.48","0","0.5046720495044485"
"545","5000","5","5.52","0","0.5046720495044483"
"546","5000","5.52","5","0.5046720495044484","0"
"547","5000","4.48","5","0.5046720495044484","0"
"550","5000","5","4.48","0","0.5046720495044485"
"551","5000","5.52","5","0.5046720495044485","0"
"548","5000","5.52","5","0.5046720495044484","0"
"549","5000","4.48","5","0.5046720495044487","0"
"552","5000","4.48","5","0.5046720495044484","0"
"553","5000","5","4.48","0","0.5046720495044484"
"554","5000","5.52","5","0.5046720495044484","0"
"555","5000","5","4.48","0","0.5046720495044485"
"556","5000","4.48","5","0.5046720495044485","0"
"557","5000","5","5.52","0","0.5046720495044485"
"559","5000","5","4.48","0","0.5046720495044484"
