"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 2 - complejo - random walker.nlogo"
"complex_experiment_100"
"09/23/2024 10:38:20:394 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"1","418","13","14"
"1","419","13","14"
"1","420","14","15"
"1","421","14","15"
"1","422","14","15"
"1","423","14","15"
"1","424","14","15"
"1","425","13","15"
"1","426","13","15"
"1","427","13","14"
"1","428","13","14"
"1","429","13","14"
"1","430","13","15"
"1","431","13","15"
"1","432","13","15"
"1","433","13","15"
"1","434","13","15"
"1","435","13","15"
"1","436","13","15"
"1","437","13","15"
"1","438","13","15"
"1","439","13","15"
"1","440","13","15"
"1","441","13","15"
"1","442","12","16"
"1","443","12","16"
"1","444","12","16"
"1","445","13","16"
"1","446","13","16"
"1","447","13","16"
"1","448","13","16"
"1","449","13","16"
"1","450","13","16"
"1","451","13","16"
"1","452","13","16"
"1","453","13","16"
"1","454","13","16"
"1","455","13","16"
"1","456","13","16"
"1","457","12","16"
"1","458","12","16"
"1","459","12","16"
"1","460","12","16"
"1","461","12","16"
"1","462","12","16"
"1","463","13","16"
"1","464","13","16"
"1","465","13","16"
"1","466","13","17"
"1","467","13","17"
"1","468","13","16"
"1","469","13","16"
"1","470","13","17"
"1","471","13","17"
"1","472","12","17"
"1","473","12","17"
"1","474","12","17"
"1","475","12","17"
"1","476","12","17"
"1","477","12","17"
"1","478","12","17"
"1","479","12","17"
"1","480","12","16"
"1","481","12","16"
"1","482","12","17"
"1","483","12","17"
"1","484","12","17"
"1","485","12","16"
"1","486","12","17"
"1","487","12","17"
"1","488","12","16"
"1","489","12","16"
"1","490","12","16"
"1","491","12","16"
"1","492","12","16"
"1","493","12","16"
"1","494","12","16"
"1","495","12","16"
"1","496","12","16"
"1","497","13","16"
"1","498","13","15"
"1","499","13","15"
"1","500","13","16"
"1","501","13","16"
"1","502","13","15"
"1","503","13","15"
"1","504","13","15"
"1","505","13","16"
"1","506","13","16"
"1","507","13","16"
"1","508","13","16"
"1","509","13","16"
"1","510","13","16"
"1","511","12","16"
"1","512","12","16"
"1","513","12","16"
"1","514","12","16"
"1","515","12","16"
"1","516","12","16"
"1","517","12","16"
"1","518","12","16"
"1","519","12","16"
"1","520","12","15"
"1","521","12","16"
"1","522","13","15"
"1","523","12","15"
"1","524","13","15"
"1","525","13","15"
"1","526","13","15"
"1","527","13","15"
"1","528","13","15"
"1","529","13","15"
"1","530","13","15"
"1","531","13","15"
"1","532","13","15"
"1","533","13","15"
"1","534","13","15"
"1","535","13","15"
"1","536","13","15"
"1","537","14","15"
"1","538","14","15"
"1","539","14","15"
"1","540","14","15"
"1","541","14","15"
"1","542","13","15"
"1","543","13","15"
"1","544","13","15"
"1","545","13","15"
"1","546","14","15"
"1","547","14","14"
"1","548","14","14"
"1","549","14","14"
"1","550","14","14"
"1","551","14","14"
"1","552","14","14"
"1","553","14","14"
"1","554","13","14"
"1","555","14","14"
"1","556","14","14"
"1","557","13","14"
"1","558","13","14"
"1","559","13","14"
"1","560","13","14"
"1","561","13","14"
"1","562","13","14"
"1","563","13","14"
"1","564","13","14"
"1","565","13","13"
"1","566","13","14"
"1","567","13","14"
"1","568","13","13"
"1","569","13","13"
"1","570","14","13"
"1","571","14","14"
"1","572","14","13"
"1","573","13","13"
"1","574","13","13"
"1","575","13","13"
"1","576","13","13"
"1","577","13","13"
"1","578","13","13"
"1","579","13","13"
"1","580","13","13"
"1","581","13","13"
"1","582","13","13"
"1","583","13","13"
"1","584","13","13"
"1","585","13","13"
"1","586","13","13"
"1","587","13","13"
"1","588","13","13"
"1","589","13","14"
"1","590","13","13"
"1","591","13","14"
