"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 3 - caotico - random walk.nlogo"
"chaotic_walk"
"02/10/2025 20:53:00:300 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"1","543","13","14"
"1","544","13","14"
"1","545","13","14"
"1","546","13","14"
"1","547","13","14"
"1","548","13","14"
"1","549","13","14"
"1","550","13","14"
"1","551","13","14"
"1","552","13","14"
"1","553","13","14"
"1","554","13","14"
"1","555","13","15"
"1","556","13","14"
"1","557","13","14"
"1","558","13","14"
"1","559","14","14"
"1","560","14","14"
"1","561","13","14"
"1","562","13","15"
"1","563","13","15"
"1","564","14","14"
"1","565","14","14"
"1","566","14","14"
"1","567","14","14"
"1","568","14","14"
"1","569","14","14"
"1","570","14","14"
"1","571","13","14"
"1","572","13","14"
"1","573","13","14"
"1","574","13","14"
"1","575","14","14"
"1","576","14","15"
"1","577","14","15"
"1","578","14","15"
"1","579","14","15"
"1","580","14","15"
"1","581","14","14"
"1","582","14","14"
"1","583","14","15"
"1","584","14","15"
"1","585","14","15"
"1","586","14","14"
"1","587","14","15"
"1","588","14","15"
"1","589","14","14"
"1","590","14","14"
"1","591","14","14"
"1","592","14","14"
"1","593","14","14"
"1","594","14","14"
"1","595","14","14"
"1","596","14","14"
"1","597","14","15"
"1","598","14","15"
"1","599","14","15"
"1","600","14","15"
"1","601","14","15"
"1","602","14","15"
"1","603","14","15"
"1","604","14","15"
"1","605","14","15"
"1","606","14","15"
"1","607","14","15"
"1","608","14","15"
"1","609","14","15"
"1","610","14","15"
"1","611","14","15"
"1","612","14","15"
"1","613","14","15"
"1","614","14","15"
"1","615","14","15"
"1","616","14","15"
"1","617","14","15"
"1","618","14","15"
"1","619","14","15"
"1","620","15","15"
"1","621","14","15"
"1","622","15","15"
"1","623","15","15"
"1","624","15","16"
"1","625","15","16"
"1","626","15","16"
"1","627","15","16"
"1","628","14","16"
"1","629","15","15"
"1","630","14","16"
"1","631","14","15"
"1","632","14","15"
"1","633","14","16"
"1","634","15","15"
"1","635","14","16"
"1","636","14","16"
"1","637","14","16"
"1","638","14","15"
"1","639","14","15"
"1","640","14","15"
"1","641","14","16"
"1","642","14","15"
"1","643","14","15"
"1","644","14","16"
"1","645","14","15"
"1","646","14","15"
"1","647","14","15"
"1","648","14","15"
"1","649","14","15"
"1","650","14","15"
"1","651","14","15"
"1","652","14","15"
"1","653","14","15"
"1","654","14","15"
"1","655","14","15"
"1","656","14","16"
"1","657","14","16"
"1","658","14","16"
"1","659","14","15"
"1","660","14","15"
"1","661","14","15"
"1","662","14","15"
"1","663","14","15"
"1","664","14","15"
"1","665","14","15"
"1","666","14","15"
"1","667","14","15"
"1","668","14","15"
"1","669","14","15"
"1","670","14","15"
"1","671","14","15"
"1","672","14","15"
"1","673","14","15"
"1","674","14","15"
"1","675","14","15"
"1","676","14","15"
"1","677","14","15"
"1","678","14","15"
"1","679","14","15"
"1","680","14","15"
"1","681","14","15"
"1","682","14","15"
"1","683","14","15"
"1","684","14","15"
"1","685","14","15"
"1","686","14","15"
"1","687","14","15"
"1","688","14","15"
"1","689","14","15"
"1","690","14","15"
"1","691","14","15"
"1","692","14","15"
"1","693","14","15"
"1","694","14","15"
"1","695","14","15"
"1","696","15","15"
"1","697","15","15"
"1","698","15","15"
"1","699","15","15"
"1","700","14","15"
"1","701","15","15"
"1","702","14","15"
"1","703","14","15"
"1","704","14","15"
"1","705","14","15"
"1","706","14","15"
"1","707","14","15"
"1","708","14","15"
"1","709","14","15"
"1","710","14","15"
"1","711","14","14"
"1","712","14","14"
"1","713","14","14"
"1","714","14","15"
"1","715","14","15"
"1","716","14","15"
"1","717","14","15"
"1","718","14","15"
"1","719","14","14"
"1","720","14","14"
"1","721","14","14"
"1","722","15","14"
"1","723","14","15"
"1","724","14","15"
"1","725","14","15"
"1","726","14","15"
"1","727","14","14"
"1","728","14","15"
"1","729","14","15"
"1","730","14","14"
"1","731","14","14"
"1","732","14","14"
"1","733","14","14"
"1","734","14","14"
"1","735","14","15"
"1","736","14","15"
"1","737","14","14"
"1","738","14","14"
"1","739","14","14"
"1","740","14","14"
"1","741","14","14"
"1","742","14","14"
"1","743","14","14"
"1","744","14","14"
"1","745","14","14"
"1","746","14","14"
"1","747","15","14"
"1","748","15","14"
"1","749","15","14"
"1","750","15","14"
"1","751","15","14"
"1","752","15","14"
"1","753","15","14"
"1","754","15","14"
"1","755","15","14"
"1","756","15","14"
"1","757","15","14"
"1","758","15","14"
"1","759","15","14"
"1","760","15","14"
"1","761","15","14"
"1","762","15","14"
"1","763","15","14"
"1","764","14","14"
"1","765","14","14"
"1","766","14","14"
"1","767","14","14"
"1","768","14","14"
"1","769","14","14"
"1","770","14","14"
"1","771","15","14"
"1","772","14","14"
"1","773","14","14"
"1","774","14","14"
"1","775","15","14"
"1","776","14","14"
"1","777","15","14"
"1","778","14","14"
"1","779","15","14"
"1","780","15","14"
"1","781","14","14"
